size layer score
10 1 0.6421032431395126
10 2 0.7898196123584724
10 3 0.7804644022260603
10 4 0.82426597582038
10 5 0.8527154097102284
10 6 0.8269046248320859
10 7 0.8593839953943581
10 8 0.8415371329879102
10 9 0.842832469775475
10 10 0.8614949146037229
20 1 0.7515831894070236
20 2 0.8359240069084629
20 3 0.8406255996929572
20 4 0.8519957781615812
20 5 0.8582325849165228
20 6 0.8627902513912876
20 7 0.8553540587219344
20 8 0.8603435041258876
20 9 0.8606793321819228
20 10 0.847006332757628
30 1 0.7594991364421416
30 2 0.8440318556898868
30 3 0.8606313567453464
30 4 0.8598157743235464
30 5 0.865668777585876
30 6 0.8655728267127231
30 7 0.8682114757244291
30 8 0.8649971214738054
30 9 0.8553060832853578
30 10 0.8638457109959701
40 1 0.7557570523891768
40 2 0.8385146804835925
40 3 0.8510842448666283
40 4 0.8593360199577816
40 5 0.8652369986566878
40 6 0.8616388409134523
40 7 0.8690270581462292
40 8 0.8801573594319708
40 9 0.8754557666474765
40 10 0.8731049702552294
50 1 0.7645365572826712
50 2 0.8490692765304164
50 3 0.8597677988869699
50 4 0.8521397044713107
50 5 0.8600556515064287
50 6 0.8741604298599117
50 7 0.8688351563999233
50 8 0.8649491460372289
50 9 0.8778065630397237
50 10 0.8740644789867588
60 1 0.7760026866244483
60 2 0.841920936480522
60 3 0.861303012857417
60 4 0.8649011706006524
60 5 0.865764728459029
60 6 0.8645653425446171
60 7 0.8749760122817117
60 8 0.8684993283438879
60 9 0.8636058338130878
60 10 0.8771828823642295
70 1 0.7928900402993667
70 2 0.8534350412588755
70 3 0.860295528689311
70 4 0.8708021492995587
70 5 0.8670120898100173
70 6 0.8782863174054883
70 7 0.8767511034350413
70 8 0.8663884091345231
70 9 0.8762713490692765
70 10 0.8782383419689119
80 1 0.7774899251583189
80 2 0.8496449817693341
80 3 0.8650930723469583
80 4 0.8681635002878526
80 5 0.8815006716561121
80 6 0.8689311072730762
80 7 0.8688351563999233
80 8 0.8692189598925351
80 9 0.8733928228746881
80 10 0.8767990788716177
90 1 0.7967280752254845
90 2 0.84902130109384
90 3 0.8675877950489349
90 4 0.8655728267127231
90 5 0.8637017846862406
90 6 0.8725292650163117
90 7 0.8663404336979467
90 8 0.8754077912109001
90 9 0.8724812895797351
90 10 0.8744003070427941
100 1 0.7935137209748608
100 2 0.8530992132028401
100 3 0.8589042410285933
100 4 0.866484360007676
100 5 0.8671080406831703
100 6 0.8732009211283823
100 7 0.8735367491844176
100 8 0.8832277873728651
100 9 0.8555939359048167
100 10 0.8680195739781232
best_size best_layer best_score
100 8 0.8832277873728651
